"Private_School_Name","State_Name_Latest","State_Name_2019_20","STATE_not_geo_file","STATE","Private_School_Name_2019_20","PPIN","Total_Students_Private_2019_20","Black_Students_Private_2019_20","Hispanic_Students_Private_2019_20","Native_Students_Private_2019_20","Hawaiian_Students_Private_2019_20","Asian_Students_Private_2019_20","White_Students_Private_2019_20","prop_black","prop_hispanic","prop_native","prop_hawaiian","prop_asian","prop_white","FTE_Teachers_Private_2019_20","LOCALE","urbanicity_geo_data","LAT","LON","urbanicity"
NA,NA,NA,NA,"HI",NA,"A2301076",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11","city",21.308247,-157.810226,"city"
"HO'ALA SCHOOL","HAWAII","HAWAII","HI","HI","HO'ALA SCHOOL","A9102269",37,2,5,0,0,1,7,5.41,13.51,0,0,2.7,18.92,6,"21","suburban",21.4981,-158.023021,"suburban"
"HOLY NATIVITY SCHOOL","HAWAII","HAWAII","HI","HI","HOLY NATIVITY SCHOOL","A9102271",131,0,8,0,0,31,47,0,7.34,0,0,28.44,43.12,9,"21","suburban",21.2786,-157.752011,"suburban"
"SOTO ACADEMY","HAWAII","HAWAII","HI","HI","SOTO ACADEMY","A9102281",48,0,0,0,2,25,6,0,0,0,4.17,52.08,12.5,8.9,"11","city",21.298563,-157.84605,"city"
"LANAKILA BAPTIST JR & SR HIGH SCHOOL","HAWAII","HAWAII","HI","HI","LANAKILA BAPTIST JR & SR HIGH SCHOOL","A9701350",64,2,3,0,13,41,5,3.13,4.69,0,20.31,64.06,7.81,6.6,"21","suburban",21.341217,-158.035542,"suburban"
"FRIENDSHIP CHRISTIAN SCHOOLS","HAWAII","HAWAII","HI","HI","FRIENDSHIP CHRISTIAN SCHOOLS","A9901542",76,4,7,0,14,15,16,5.26,9.21,0,18.42,19.74,21.05,5.6,"21","suburban",21.337636,-158.03943,"suburban"
"HAWAII BAPTIST ACADEMY","HAWAII","HAWAII","HI","HI","HAWAII BAPTIST ACADEMY","BB160964",1031,4,8,0,6,609,18,0.39,0.78,0,0.58,59.07,1.75,77.8,"11","city",21.327952,-157.844797,"city"
"TRINITY LUTHERAN SCHOOL","HAWAII","HAWAII","HI","HI","TRINITY LUTHERAN SCHOOL","K9301865",118,1,3,1,30,17,40,1.09,3.26,1.09,32.61,18.48,43.48,10.9,"21","suburban",21.50162,-158.010001,"suburban"
NA,NA,NA,NA,"HI",NA,"K9301874",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11","city",21.291965,-157.808581,"city"
"MARY STAR OF THE SEA EARLY LEARNING CENTER","HAWAII","HAWAII","HI","HI","MARY STAR OF THE SEA EARLY LEARNING CENTER","K9301881",190,1,1,0,5,17,5,3.03,3.03,0,15.15,51.52,15.15,11,"21","suburban",21.27919,-157.781141,"suburban"
"ST THERESA SCHOOL","HAWAII","HAWAII","HI","HI","ST THERESA SCHOOL","00326226",130,0,1,0,15,22,20,0,1.02,0,15.31,22.45,20.41,8,"33","town",21.966922,-159.713009,"town"
"ISLAND SCHOOL","HAWAII","HAWAII","HI","HI","ISLAND SCHOOL","00327106",422,2,0,0,81,9,290,0.52,0,0,21.2,2.36,75.92,66,"41","rural",21.972551,-159.398882,"rural"
"KAUAI CHRISTIAN ACADEMY","HAWAII","HAWAII","HI","HI","KAUAI CHRISTIAN ACADEMY","00327354",137,1,10,1,12,11,60,0.99,9.9,0.99,11.88,10.89,59.41,11.3,"42","rural",22.216447,-159.40508,"rural"
"OLELO CHRISTIAN ACADEMY","HAWAII","HAWAII","HI","HI","OLELO CHRISTIAN ACADEMY","A0501481",52,0,1,0,10,4,25,0,2.5,0,25,10,62.5,4,"33","town",21.97155,-159.363361,"town"
NA,NA,NA,NA,"HI",NA,"A2301070",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"42","rural",22.188951,-159.362064,"rural"
"KAHILI ADVENTIST SCHOOL","HAWAII","HAWAII","HI","HI","KAHILI ADVENTIST SCHOOL","AA000804",27,0,1,0,4,14,0,0,5.26,0,21.05,73.68,0,3.1,"33","town",22.06962,-159.319164,"town"
"SACRED HEARTS SCHOOL & EARLY LEARNING CENTER","HAWAII","HAWAII","HI","HI","SACRED HEARTS SCHOOL & EARLY LEARNING CENTER","00326215",206,1,22,3,16,9,109,0.63,13.75,1.88,10,5.63,68.13,10.5,"31","town",20.875522,-156.675924,"town"
"ST ANTHONY SCHOOL","HAWAII","HAWAII","HI","HI","ST ANTHONY SCHOOL","00326601",293,0,8,0,89,75,117,0,2.73,0,30.38,25.6,39.93,22,"13","city",20.892219,-156.496995,"city"
"SEABURY HALL","HAWAII","HAWAII","HI","HI","SEABURY HALL","00326678",438,9,5,0,66,38,244,2.05,1.14,0,15.07,8.68,55.71,61.3,"31","town",20.8409,-156.308831,"town"
"DORIS TODD CHRISTIAN ACADEMY","HAWAII","HAWAII","HI","HI","DORIS TODD CHRISTIAN ACADEMY","00327208",178,1,6,1,32,14,71,0.69,4.14,0.69,22.07,9.66,48.97,16.9,"41","rural",20.90352,-156.371791,"rural"
"HALEAKALA WALDORF SCHOOL","HAWAII","HAWAII","HI","HI","HALEAKALA WALDORF SCHOOL","00327376",233,0,4,0,8,4,203,0,1.83,0,3.65,1.83,92.69,38,"42","rural",20.76584,-156.327211,"rural"
"MAUI ADVENTIST SCHOOL","HAWAII","HAWAII","HI","HI","MAUI ADVENTIST SCHOOL","00327398",15,2,2,0,3,6,2,13.33,13.33,0,20,40,13.33,2,"13","city",20.88467,-156.463651,"city"
"EMMANUEL LUTHERAN SCHOOL","HAWAII","HAWAII","HI","HI","EMMANUEL LUTHERAN SCHOOL","02023139",163,4,26,0,21,11,43,3.15,20.47,0,16.54,8.66,33.86,16,"13","city",20.88837,-156.481891,"city"
"KAMEHAMEHA SCHOOLS MAUI","HAWAII","HAWAII","HI","HI","KAMEHAMEHA SCHOOLS MAUI","A0102974",1073,0,0,0,1073,0,0,0,0,0,100,0,0,90,"31","town",20.82062,-156.337281,"town"
"AKAULA SCHOOL","HAWAII","HAWAII","HI","HI","AKAULA SCHOOL","A0700791",39,0,1,0,31,4,3,0,2.56,0,79.49,10.26,7.69,2.6,"43","rural",21.151698,-157.036125,"rural"
"HO'OMANA HOU SCHOOL","HAWAII","HAWAII","HI","HI","HO'OMANA HOU SCHOOL","A0700796",23,0,0,0,23,0,0,0,0,0,100,0,0,3,"43","rural",21.087225,-157.017792,"rural"
"MAUI PREPARATORY ACADEMY","HAWAII","HAWAII","HI","HI","MAUI PREPARATORY ACADEMY","A0700801",226,2,3,0,5,9,168,1.05,1.57,0,2.62,4.71,87.96,26.4,"41","rural",20.983311,-156.664463,"rural"
"ROOTS SCHOOL","HAWAII","HAWAII","HI","HI","ROOTS SCHOOL","A1501504",65,0,1,0,3,3,32,0,2.17,0,6.52,6.52,69.57,3.8,"31","town",20.9155,-156.323191,"town"
NA,NA,NA,NA,"HI",NA,"A1901586",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"41","rural",20.744496,-156.449052,"rural"
NA,NA,NA,NA,"HI",NA,"A2101521",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"41","rural",20.883092,-156.536509,"rural"
NA,NA,NA,NA,"HI",NA,"A2301075",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13","city",20.890503,-156.499898,"city"
NA,NA,NA,NA,"HI",NA,"A2301080",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13","city",20.892528,-156.496104,"city"
"MONTESSORI SCHOOL OF MAUI","HAWAII","HAWAII","HI","HI","MONTESSORI SCHOOL OF MAUI","AA000958",286,3,7,0,35,14,110,1.56,3.65,0,18.23,7.29,57.29,18,"41","rural",20.86891,-156.320421,"rural"
"BISHOP KELLY HIGH SCHOOL","IDAHO","IDAHO","ID","ID","BISHOP KELLY HIGH SCHOOL","00330924",823,11,8,5,8,37,735,1.34,0.97,0.61,0.97,4.5,89.31,55.8,"12","city",43.60422,-116.269941,"city"
"ST MARYS SCHOOL","IDAHO","IDAHO","ID","ID","ST MARYS SCHOOL","00330979",146,4,39,0,0,6,75,3.13,30.47,0,0,4.69,58.59,11.3,"12","city",43.631816,-116.222294,"city"
"ST MARKS ELEMENTARY SCHOOL","IDAHO","IDAHO","ID","ID","ST MARKS ELEMENTARY SCHOOL","00331021",302,4,38,0,0,4,217,1.48,14.07,0,0,1.48,80.37,20.1,"12","city",43.62606,-116.275451,"city"
"ST JOSEPH'S CATHOLIC SCHOOL","IDAHO","IDAHO","ID","ID","ST JOSEPH'S CATHOLIC SCHOOL","00331032",381,4,15,2,0,17,324,1.05,3.94,0.52,0,4.46,85.04,23.8,"12","city",43.621915,-116.198406,"city"
"SACRED HEART CATHOLIC SCHOOL","IDAHO","IDAHO","ID","ID","SACRED HEART CATHOLIC SCHOOL","00331043",211,9,27,4,0,18,89,5.96,17.88,2.65,0,11.92,58.94,10,"12","city",43.596756,-116.230041,"city"
NA,NA,NA,NA,"ID",NA,"00331382",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12","city",43.613906,-116.337375,"city"
"EAGLE ADVENTIST CHRISTIAN SCHOOL & PRESCHOOL","IDAHO","IDAHO","ID","ID","EAGLE ADVENTIST CHRISTIAN SCHOOL & PRESCHOOL","00331393",23,0,0,0,0,0,17,0,0,0,0,0,89.47,3,"21","suburban",43.69675,-116.360871,"suburban"
"MONTESSORI ACADEMY","IDAHO","IDAHO","ID","ID","MONTESSORI ACADEMY","A0102996",171,0,2,2,1,3,71,0,2.53,2.53,1.27,3.8,89.87,11.3,"21","suburban",43.70754,-116.402739,"suburban"
"RIVERSTONE INTERNATIONAL SCHOOL","IDAHO","IDAHO","ID","ID","RIVERSTONE INTERNATIONAL SCHOOL","A0103025",360,8,20,0,2,18,235,2.42,6.06,0,0.61,5.45,71.21,45.1,"12","city",43.56434,-116.115681,"city"
"MONTESSORI ACADEMY ON PARKCENTER","IDAHO","IDAHO","ID","ID","MONTESSORI ACADEMY ON PARKCENTER","A0700812",155,1,1,0,0,2,13,3.57,3.57,0,0,7.14,46.43,6.1,"12","city",43.589028,-116.17646,"city"
"CALVARY CHRISTIAN SCHOOL","IDAHO","IDAHO","ID","ID","CALVARY CHRISTIAN SCHOOL","A0740048",207,2,9,0,1,8,107,1.52,6.82,0,0.76,6.06,81.06,11.5,"12","city",43.603768,-116.276347,"city"
"LEARNING TREEINC","IDAHO","IDAHO","ID","ID","LEARNING TREEINC","A0750020",84,0,0,0,0,0,24,0,0,0,0,0,100,3,"12","city",43.64652,-116.222531,"city"
"NORTHVIEW MONTESSORI PRESCHOOL AND KINDERGARTEN","IDAHO","IDAHO","ID","ID","NORTHVIEW MONTESSORI PRESCHOOL AND KINDERGARTEN","A0750021",82,0,0,0,0,2,16,0,0,0,0,11.11,88.89,2,"12","city",43.62699,-116.277661,"city"
"LITTLE MIRACLES","IDAHO","IDAHO","ID","ID","LITTLE MIRACLES","A1370610",59,0,0,0,0,0,9,0,0,0,0,0,90,1.1,"31","town",43.6961,-116.493701,"town"
"HILLSIDE ACADEMY","IDAHO","IDAHO","ID","ID","HILLSIDE ACADEMY","A1701407",25,0,0,0,0,0,10,0,0,0,0,0,100,3.4,"12","city",43.65793,-116.237011,"city"
NA,NA,NA,NA,"ID",NA,"A1901608",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"21","suburban",43.660399,-116.391676,"suburban"
"ONE STONE","IDAHO","IDAHO","ID","ID","ONE STONE","A1992114",126,6,2,2,0,2,100,4.76,1.59,1.59,0,1.59,79.37,27.5,"12","city",43.61395,-116.211431,"city"
NA,NA,NA,NA,"ID",NA,"A2101528",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12","city",43.601292,-116.199315,"city"
NA,NA,NA,NA,"ID",NA,"A2170287",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12","city",43.591446,-116.310281,"city"
NA,NA,NA,NA,"ID",NA,"A2170295",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"21","suburban",43.606791,-116.437208,"suburban"
NA,NA,NA,NA,"ID",NA,"A2301084",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"21","suburban",43.61958,-116.420513,"suburban"
NA,NA,NA,NA,"ID",NA,"A2301087",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12","city",43.616205,-116.273916,"city"
NA,NA,NA,NA,"ID",NA,"A2392092",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"41","rural",43.636311,-116.438576,"rural"
"COLE VALLEY CHRISTIAN SCHOOLS","IDAHO","IDAHO","ID","ID","COLE VALLEY CHRISTIAN SCHOOLS","A9300335",943,11,0,0,0,24,798,1.28,0,0,0,2.79,92.9,24.5,"21","suburban",43.61408,-116.390311,"suburban"
"THE CHILDREN'S SCHOOL OF BOISE","IDAHO","IDAHO","ID","ID","THE CHILDREN'S SCHOOL OF BOISE","A9303180",143,6,11,0,0,6,56,7.59,13.92,0,0,7.59,70.89,2,"12","city",43.62363,-116.197901,"city"
NA,NA,NA,NA,"ID",NA,"A9501591",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12","city",43.6446,-116.3349,"city"
"KIDZ CONNECTION MONTESSORI","IDAHO","IDAHO","ID","ID","KIDZ CONNECTION MONTESSORI","A9901551",97,1,2,0,1,3,11,5,10,0,5,15,55,2,"12","city",43.5815,-116.208101,"city"
"ROSE HILL MONTESSORI","IDAHO","IDAHO","ID","ID","ROSE HILL MONTESSORI","A9901695",70,2,1,0,0,2,47,3.85,1.92,0,0,3.85,90.38,4,"12","city",43.59858,-116.238761,"city"
"SMARTY PANTS PRESCHOOL & KINDERGARTEN","IDAHO","IDAHO","ID","ID","SMARTY PANTS PRESCHOOL & KINDERGARTEN","BB140362",15,0,0,0,0,0,3,0,0,0,0,0,100,1,"31","town",43.48419,-116.414391,"town"
"WESLEYAN PRESCHOOL & KINDERGARTEN","IDAHO","IDAHO","ID","ID","WESLEYAN PRESCHOOL & KINDERGARTEN","BB140365",129,2,1,0,1,0,12,12.5,6.25,0,6.25,0,75,1.9,"12","city",43.622449,-116.202784,"city"
"A CHILD'S CHOICE MONTESSORI SCHOOL","IDAHO","IDAHO","ID","ID","A CHILD'S CHOICE MONTESSORI SCHOOL","BB180928",55,0,0,0,0,0,16,0,0,0,0,0,100,3,"21","suburban",43.589412,-116.408169,"suburban"
"HOLY SPIRIT CATHOLIC SCHOOL","IDAHO","IDAHO","ID","ID","HOLY SPIRIT CATHOLIC SCHOOL","00331065",150,0,20,0,0,0,104,0,16.13,0,0,0,83.87,11.6,"13","city",42.871535,-112.445342,"city"
"GRACE LUTHERAN SCHOOL","IDAHO","IDAHO","ID","ID","GRACE LUTHERAN SCHOOL","00331112",494,6,23,1,0,15,339,1.53,5.87,0.26,0,3.83,86.48,23.3,"13","city",42.90505,-112.435041,"city"
"POCATELLO VALLEY MONTESSORI SCHOOL","IDAHO","IDAHO","ID","ID","POCATELLO VALLEY MONTESSORI SCHOOL","A1901606",112,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,38.1,4,"13","city",42.880935,-112.449617,"city"
"PIONEER MONTESSORI SCHOOL","IDAHO","IDAHO","ID","ID","PIONEER MONTESSORI SCHOOL","A1100950",82,0,3,0,0,0,40,0,6.52,0,0,0,86.96,8.5,"33","town",43.67807,-114.366731,"town"
"THE SAGE SCHOOL","IDAHO","IDAHO","ID","ID","THE SAGE SCHOOL","A1100968",69,0,2,0,0,1,66,0,2.9,0,0,1.45,95.65,12,"41","rural",43.523846,-114.288452,"rural"
NA,NA,NA,NA,"ID",NA,"A2101542",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"33","town",43.689303,-114.352632,"town"
NA,NA,NA,NA,"ID",NA,"A2101543",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"33","town",43.689303,-114.352632,"town"
NA,NA,NA,NA,"ID",NA,"A2101544",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"33","town",43.689303,-114.352632,"town"
"PROJECT PATCH","IDAHO","IDAHO","WA","ID","PROJECT PATCH","A1701420",27,0,0,0,0,0,27,0,0,0,0,0,100,3.8,"43","rural",44.090174,-115.981832,"rural"
NA,NA,NA,NA,"ID",NA,"00331462",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"32","town",48.272619,-116.579486,"town"
"SELKIRK SCHOOL","IDAHO","IDAHO","ID","ID","SELKIRK SCHOOL","02023263",29,0,0,0,0,0,7,0,0,0,0,0,100,1,"41","rural",48.27555,-116.599781,"rural"
"LITTLE LAMBS PRESCHOOL","IDAHO","IDAHO","ID","ID","LITTLE LAMBS PRESCHOOL","A0901395",52,0,0,0,0,3,9,0,0,0,0,25,75,0.9,"32","town",48.27386,-116.575936,"town"
"HOUSE OF THE LORD CHRISTIAN ACADEMY","IDAHO","IDAHO","ID","ID","HOUSE OF THE LORD CHRISTIAN ACADEMY","A9300329",159,2,0,4,0,0,124,1.54,0,3.08,0,0,95.38,16.5,"43","rural",48.17116,-117.031631,"rural"
"SANDPOINT WALDORF SCHOOL","IDAHO","IDAHO","ID","ID","SANDPOINT WALDORF SCHOOL","A9501601",168,0,1,2,0,0,120,0,0.81,1.63,0,0,97.56,14,"32","town",48.27261,-116.577161,"town"
"SANDPOINT CHRISTIAN SCHOOL","IDAHO","IDAHO","ID","ID","SANDPOINT CHRISTIAN SCHOOL","A9701367",141,0,1,2,0,2,104,0,0.9,1.8,0,1.8,93.69,7.8,"41","rural",48.321728,-116.547261,"rural"
NA,NA,NA,NA,"ID",NA,"AA001145",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"42","rural",48.116031,-117.025501,"rural"
"HOLY ROSARY CATHOLIC SCHOOL","IDAHO","IDAHO","ID","ID","HOLY ROSARY CATHOLIC SCHOOL","00330957",180,2,30,3,2,2,85,1.47,22.06,2.21,1.47,1.47,62.5,9.5,"13","city",43.49001,-112.031861,"city"
"HOPE LUTHERAN SCHOOL","IDAHO","IDAHO","ID","ID","HOPE LUTHERAN SCHOOL","00331134",49,0,2,0,0,0,31,0,6.06,0,0,0,93.94,4.3,"13","city",43.48724,-111.993611,"city"
"LIGHTHOUSE MONTESSORI SCHOOL","IDAHO","IDAHO","ID","ID","LIGHTHOUSE MONTESSORI SCHOOL","A1140008",82,0,1,0,0,2,35,0,2.56,0,0,5.13,89.74,9.3,"41","rural",43.49136,-111.905411,"rural"
"WATERSPRINGS SCHOOL","IDAHO","IDAHO","ID","ID","WATERSPRINGS SCHOOL","A1501533",359,5,20,1,0,6,265,1.68,6.73,0.34,0,2.02,89.23,35,"13","city",43.459475,-111.98541,"city"
NA,NA,NA,NA,"ID",NA,"A2170274",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"22","suburban",43.483248,-111.977037,"suburban"
"SNAKE RIVER MONTESSORI SCHOOL","IDAHO","IDAHO","ID","ID","SNAKE RIVER MONTESSORI SCHOOL","A9501597",92,2,6,2,0,20,31,3.28,9.84,3.28,0,32.79,50.82,5,"22","suburban",43.495814,-111.97493,"suburban"
"WATERSPRINGS SCHOOL","IDAHO","IDAHO","ID","ID","WATERSPRINGS SCHOOL","A9901564",361,27,7,0,0,89,102,8.97,2.33,0,0,29.57,33.89,27.4,"13","city",43.459475,-111.98541,"city"
"LITTLE PEOPLES ACADEMY","IDAHO","IDAHO","ID","ID","LITTLE PEOPLES ACADEMY","A9901656",97,1,1,0,0,1,21,4.17,4.17,0,0,4.17,87.5,2,"13","city",43.49248,-112.034321,"city"
"MOUNTAIN VIEW CHRISTIAN SCHOOL","IDAHO","IDAHO","ID","ID","MOUNTAIN VIEW CHRISTIAN SCHOOL","A1501526",73,0,0,0,0,0,73,0,0,0,0,0,100,6.3,"43","rural",48.7392,-116.296063,"rural"
NA,NA,NA,NA,"ID",NA,"A2390196",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"43","rural",48.576582,-116.366661,"rural"
"ZION LUTHERAN SCHOOL","IDAHO","IDAHO","ID","ID","ZION LUTHERAN SCHOOL","00331123",54,2,5,0,1,0,29,5.41,13.51,0,2.7,0,78.38,6.3,"22","suburban",43.55871,-116.572121,"suburban"
"GREENLEAF FRIENDS ACADEMY","IDAHO","IDAHO","ID","ID","GREENLEAF FRIENDS ACADEMY","00331178",202,3,22,1,0,2,99,2.11,15.49,0.7,0,1.41,69.72,15.5,"42","rural",43.67107,-116.820891,"rural"
"CALDWELL ADVENTIST ELEMENTARY","IDAHO","IDAHO","ID","ID","CALDWELL ADVENTIST ELEMENTARY","00331305",109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.4,"22","suburban",43.64854,-116.676221,"suburban"
"GEM STATE ADVENTIST ACADEMY","IDAHO","IDAHO","ID","ID","GEM STATE ADVENTIST ACADEMY","00331407",65,1,15,2,4,2,41,1.54,23.08,3.08,6.15,3.08,63.08,7.6,"22","suburban",43.606098,-116.684349,"suburban"
"CALVARY CHRISTIAN SCHOOL","IDAHO","IDAHO","ID","ID","CALVARY CHRISTIAN SCHOOL","A0501486",43,0,5,0,0,0,35,0,11.63,0,0,0,81.4,4,"22","suburban",43.595218,-116.612559,"suburban"
"BOISE GIRLS ACADEMY-TEEN CHALLENGE PACIFIC NORTHWE","IDAHO","IDAHO","ID","ID","BOISE GIRLS ACADEMY-TEEN CHALLENGE PACIFIC NORTHWE","A0901402",25,7,0,0,0,0,18,28,0,0,0,0,72,2,"22","suburban",43.551554,-116.58841,"suburban"
"NAMPA MONTESSORI","IDAHO","IDAHO","ID","ID","NAMPA MONTESSORI","A1370612",28,0,1,0,0,1,6,0,12.5,0,0,12.5,75,2.5,"22","suburban",43.58727,-116.577831,"suburban"
NA,NA,NA,NA,"ID",NA,"A2101538",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"41","rural",43.598754,-116.631612,"rural"
NA,NA,NA,NA,"ID",NA,"A2101539",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"41","rural",43.598754,-116.631612,"rural"
NA,NA,NA,NA,"ID",NA,"A2101540",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"41","rural",43.598511,-116.631756,"rural"
NA,NA,NA,NA,"ID",NA,"A2170292",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"22","suburban",43.582777,-116.549292,"suburban"
NA,NA,NA,NA,"ID",NA,"A2301083",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"22","suburban",43.60626,-116.684127,"suburban"
"GRACE MONTESSORI SCHOOL","IDAHO","IDAHO","ID","ID","GRACE MONTESSORI SCHOOL","A0770774",55,1,1,1,2,1,11,5.88,5.88,5.88,11.76,5.88,64.71,5,"32","town",43.12564,-115.694501,"town"
"CHILDREN S HOUSE MONTESSORI","IDAHO","IDAHO","ID","ID","CHILDREN S HOUSE MONTESSORI","K9301995",54,0,0,0,0,2,2,0,0,0,0,50,50,1.9,"32","town",43.13421,-115.685711,"town"
"CHERRY GULCH","IDAHO","IDAHO","ID","ID","CHERRY GULCH","A0901389",40,3,0,0,2,0,35,7.5,0,0,5,0,87.5,7,"42","rural",43.936059,-116.44709,"rural"
"CALVARY CHRISTIAN ACADEMY","IDAHO","IDAHO","ID","ID","CALVARY CHRISTIAN ACADEMY","A1701402",84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.1,"32","town",43.89432,-116.506901,"town"
"STS PETER & PAUL SCHOOL","IDAHO","IDAHO","ID","ID","STS PETER & PAUL SCHOOL","00330968",89,0,4,0,2,0,71,0,5.19,0,2.6,0,92.21,5.3,"43","rural",45.92454,-116.127371,"rural"
NA,NA,NA,NA,"ID",NA,"A1701403",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"42","rural",42.56431,-114.049571,"rural"
"CANYONSIDE CHRISTIAN SCHOOL","IDAHO","IDAHO","ID","ID","CANYONSIDE CHRISTIAN SCHOOL","A9901566",91,0,5,0,0,0,48,0,9.43,0,0,0,90.57,11.9,"31","town",42.71067,-114.505992,"town"
"LAKE CITY ACADEMY","IDAHO","IDAHO","ID","ID","LAKE CITY ACADEMY","00331418",149,3,3,0,1,3,108,2.38,2.38,0,0.79,2.38,85.71,8.4,"13","city",47.694413,-116.784674,"city"
"NORTH IDAHO CHRISTIAN SCHOOL","IDAHO","IDAHO","ID","ID","NORTH IDAHO CHRISTIAN SCHOOL","02023376",141,3,1,0,0,4,133,2.13,0.71,0,0,2.84,94.33,15.1,"22","suburban",47.76715,-116.789841,"suburban"
"CLASSICAL CHRISTIAN ACADEMY","IDAHO","IDAHO","ID","ID","CLASSICAL CHRISTIAN ACADEMY","A0301294",228,0,7,0,0,9,172,0,3.59,0,0,4.62,88.21,18,"41","rural",47.758267,-116.867741,"rural"
"IMMACULATE CONCEPTION ACADEMY","IDAHO","IDAHO","ID","ID","IMMACULATE CONCEPTION ACADEMY","A0301301",171,0,0,0,0,0,168,0,0,0,0,0,98.25,18.3,"22","suburban",47.71186,-116.939481,"suburban"
"LAM CHRISTIAN ACADEMY","IDAHO","IDAHO","ID","ID","LAM CHRISTIAN ACADEMY","A0901396",85,0,6,0,2,1,58,0,8.96,0,2.99,1.49,86.57,7.5,"13","city",47.71654,-116.807401,"city"
"MARY IMMACULATE QUEEN SCHOOL","IDAHO","IDAHO","ID","ID","MARY IMMACULATE QUEEN SCHOOL","A1100946",26,0,1,0,0,0,25,0,3.85,0,0,0,96.15,3.8,"41","rural",47.80964,-116.988041,"rural"
"ST JOSEPH MINOR SEMINARY","IDAHO","IDAHO","ID","ID","ST JOSEPH MINOR SEMINARY","A1100963",9,0,3,0,0,1,5,0,33.33,0,0,11.11,55.56,2,"41","rural",47.80964,-116.988041,"rural"
NA,NA,NA,NA,"ID",NA,"A1370588",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"22","suburban",47.714841,-116.897274,"suburban"
"CHRISTIAN CENTER SCHOOL","IDAHO","IDAHO","ID","ID","CHRISTIAN CENTER SCHOOL","A1501509",209,1,9,4,2,0,177,0.51,4.62,2.05,1.03,0,90.77,17.6,"41","rural",47.74632,-116.835121,"rural"
"GENESIS PREPARATORY ACADEMY","IDAHO","IDAHO","ID","ID","GENESIS PREPARATORY ACADEMY","A1501515",390,4,8,0,0,15,315,1.17,2.34,0,0,4.39,92.11,24.5,"22","suburban",47.72579,-116.902261,"suburban"
NA,NA,NA,NA,"ID",NA,"A2170281",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"22","suburban",47.726217,-116.902832,"suburban"
NA,NA,NA,NA,"ID",NA,"A2192202",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"22","suburban",47.701998,-117.010742,"suburban"
NA,NA,NA,NA,"ID",NA,"A2392094",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13","city",47.698065,-116.801051,"city"
