"Private_School_Name","State_Name_Latest","State_Name_2019_20","STATE_not_geo_file","STATE","Private_School_Name_2019_20","PPIN","Total_Students_Private_2019_20","Black_Students_Private_2019_20","Hispanic_Students_Private_2019_20","Native_Students_Private_2019_20","Hawaiian_Students_Private_2019_20","Asian_Students_Private_2019_20","White_Students_Private_2019_20","prop_black","prop_hispanic","prop_native","prop_hawaiian","prop_asian","prop_white","FTE_Teachers_Private_2019_20","LOCALE","urbanicity_geo_data","LAT","LON","urbanicity"
"OUR LADY QUEEN OF MARTYRS CATHOLIC ACADEMY","NEW YORK","NEW YORK","NY","NY","OUR LADY QUEEN OF MARTYRS CATHOLIC ACADEMY","00925092",346,14,153,0,3,69,53,4.79,52.4,0,1.03,23.63,18.15,17.9,"11","city",40.718877,-73.840701,"city"
"ST FRANCIS PREP","NEW YORK","NEW YORK","NY","NY","ST FRANCIS PREP","00925106",2464,332,419,0,17,315,1381,13.47,17,0,0.69,12.78,56.05,115.3,"11","city",40.742565,-73.775998,"city"
"SACRED HEART CATHOLIC ACADEMY","NEW YORK","NEW YORK","NY","NY","SACRED HEART CATHOLIC ACADEMY","00925117",305,10,64,0,0,6,133,4.69,30.05,0,0,2.82,62.44,13.3,"11","city",40.705877,-73.864827,"city"
"ST HELEN CATHOLIC ACADEMY","NEW YORK","NEW YORK","NY","NY","ST HELEN CATHOLIC ACADEMY","00925172",321,16,63,1,1,7,146,6.84,26.92,0.43,0.43,2.99,62.39,15.9,"11","city",40.661458,-73.849787,"city"
"OUR LADY OF FATIMA SCHOOL","NEW YORK","NEW YORK","NY","NY","OUR LADY OF FATIMA SCHOOL","00925194",331,6,245,2,3,10,3,2.07,84.48,0.69,1.03,3.45,1.03,20.5,"11","city",40.761614,-73.88867,"city"
"ST JOAN OF ARC ELEMENTARY SCHOOL","NEW YORK","NEW YORK","NY","NY","ST JOAN OF ARC ELEMENTARY SCHOOL","00925208",283,4,159,0,0,31,33,1.73,68.83,0,0,13.42,14.29,13,"11","city",40.751253,-73.884399,"city"
NA,NA,NA,NA,"NY",NA,"00925241",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11","city",40.715918,-73.784998,"city"
"THE MARY LOUIS ACADEMY","NEW YORK","NEW YORK","NY","NY","THE MARY LOUIS ACADEMY","00925296",760,103,175,3,5,59,344,13.55,23.03,0.39,0.66,7.76,45.26,77.6,"11","city",40.713261,-73.786569,"city"
"ST JOSEPH CATHOLIC ACADEMY","NEW YORK","NEW YORK","NY","NY","ST JOSEPH CATHOLIC ACADEMY","00925354",393,6,121,0,4,18,157,1.95,39.41,0,1.3,5.86,51.14,18.9,"11","city",40.763124,-73.911526,"city"
"ST STANISLAUS KOSTKA CATHOLIC ACADEMY OF QUEENS","NEW YORK","NEW YORK","NY","NY","ST STANISLAUS KOSTKA CATHOLIC ACADEMY OF QUEENS","00925412",243,1,47,0,0,5,106,0.63,29.56,0,0,3.14,66.67,12.6,"11","city",40.722352,-73.903759,"city"
"CHRIST THE KING HIGH SCHOOL","NEW YORK","NEW YORK","NY","NY","CHRIST THE KING HIGH SCHOOL","00925423",600,105,241,0,4,19,105,17.5,40.17,0,0.67,3.17,17.5,37.5,"11","city",40.710719,-73.888455,"city"
"ST MARGARET CATHOLIC ACADEMY","NEW YORK","NEW YORK","NY","NY","ST MARGARET CATHOLIC ACADEMY","00925445",305,11,56,0,7,6,153,4.72,24.03,0,3,2.58,65.67,18.4,"11","city",40.715775,-73.872664,"city"
"DIVINE MERCY CATHOLIC ACADEMY","NEW YORK","NEW YORK","NY","NY","DIVINE MERCY CATHOLIC ACADEMY","00925467",206,22,83,0,0,39,18,12.94,48.82,0,0,22.94,10.59,10,"11","city",40.681923,-73.847956,"city"
"SS JOACHIM & ANNE SCHOOL","NEW YORK","NEW YORK","NY","NY","SS JOACHIM & ANNE SCHOOL","00925547",331,257,17,0,3,1,0,92.11,6.09,0,1.08,0.36,0,14.6,"11","city",40.71215,-73.738856,"city"
"RESURRECTION ASCENSION CATHOLIC ACADEMY","NEW YORK","NEW YORK","NY","NY","RESURRECTION ASCENSION CATHOLIC ACADEMY","00925569",322,7,114,0,0,41,49,2.89,47.11,0,0,16.94,20.25,14.9,"11","city",40.728333,-73.87203,"city"
"ST MATTHIAS CATHOLIC ACADEMY","NEW YORK","NEW YORK","NY","NY","ST MATTHIAS CATHOLIC ACADEMY","00925649",285,6,172,0,2,4,78,2.29,65.65,0,0.76,1.53,29.77,14,"11","city",40.702304,-73.902233,"city"
"ST CLARE CATHOLIC ACADEMY","NEW YORK","NEW YORK","NY","NY","ST CLARE CATHOLIC ACADEMY","00925707",283,214,16,2,7,5,0,86.29,6.45,0.81,2.82,2.02,0,11.1,"11","city",40.669001,-73.736266,"city"
NA,NA,NA,NA,"NY",NA,"00925729",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11","city",40.678969,-73.824837,"city"
"ST LUKES SCHOOL","NEW YORK","NEW YORK","NY","NY","ST LUKES SCHOOL","00925831",403,5,42,0,0,16,300,1.37,11.51,0,0,4.38,82.19,23.6,"11","city",40.784478,-73.810237,"city"
NA,NA,NA,NA,"NY",NA,"00925842",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11","city",40.691453,-73.856519,"city"
"ST SEBASTIAN CATHOLIC ACADEMY","NEW YORK","NEW YORK","NY","NY","ST SEBASTIAN CATHOLIC ACADEMY","00925875",455,1,140,0,0,82,135,0.28,39.11,0,0,22.91,37.71,25.6,"11","city",40.746014,-73.906475,"city"
NA,NA,NA,NA,"NY",NA,"00926223",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11","city",40.711149,-73.819758,"city"
NA,NA,NA,NA,"NY",NA,"00926267",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11","city",40.72977,-73.721521,"city"
"ST JOHN'S PREPARATORY SCHOOL","NEW YORK","NEW YORK","NY","NY","ST JOHN'S PREPARATORY SCHOOL","00926336",633,48,168,2,2,96,281,7.58,26.54,0.32,0.32,15.17,44.39,39,"11","city",40.779257,-73.91202,"city"
NA,NA,NA,NA,"NY",NA,"00926347",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11","city",40.777161,-73.910628,"city"
"CATHEDRAL PREPARATORY SCHOOL AND SEMINARY","NEW YORK","NEW YORK","NY","NY","CATHEDRAL PREPARATORY SCHOOL AND SEMINARY","00926507",160,9,49,5,0,7,87,5.63,30.63,3.13,0,4.38,54.38,15,"11","city",40.7359,-73.869331,"city"
NA,NA,NA,NA,"NY",NA,"00935781",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11","city",40.707669,-73.834166,"city"
NA,NA,NA,NA,"NY",NA,"00935828",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11","city",40.59678,-73.751688,"city"
